,,,,,,,Length class (mb),,,,,Length class (kb),,,,,,
Animal ID,State,LGA,Cluster,No. ROH,Total length ROH (kb),Average length ROH (kb),0-0.2,0.2-0.4,0.4-0.8,0.8-1.6,>1.6,>100,>500,>1000,Froh,Froh for ROHs >100 kb,Froh for ROHs >500 kb,Froh for ROH > 1 Mb
Armidale-F-M50273,NSW,Armidale,M_NSW,2213,475298,214.78,1543,450,168,49,3,475297.69,118442.74,29102.34,0.15,0.15,0.04,0.01
BMnt-F-7041500,NSW,BlueMountains,M_NSW,2785,694378,249.33,1722,639,327,87,10,694378.11,221356.84,57542.29,0.23,0.23,0.07,0.02
BMnt-F-7094923,NSW,BlueMountains,M_NSW,2440,525789,215.49,1676,514,209,37,4,525789.04,115536.52,30223.55,0.17,0.17,0.04,0.01
BMnt-F-7094976,NSW,BlueMountains,M_NSW,2853,712991,249.91,1795,620,332,102,4,712991.30,242894.36,66003.22,0.23,0.23,0.08,0.02
BMnt-F-7094979,NSW,BlueMountains,M_NSW,2633,605402,229.93,1759,553,249,69,3,605401.77,169490.52,39766.22,0.20,0.20,0.06,0.01
BMnt-M-7041293,NSW,BlueMountains,M_NSW,2892,739236,255.61,1744,682,360,98,8,739236.49,246016.04,74739.80,0.24,0.24,0.08,0.02
BMnt-M-7041492,NSW,BlueMountains,M_NSW,2656,605100,227.82,1779,559,247,65,6,605099.85,162573.06,45572.94,0.20,0.20,0.05,0.01
BMnt-U-7041191,NSW,BlueMountains,M_NSW,2386,469163,196.63,1753,441,163,29,0,469162.62,88571.52,16254.14,0.15,0.15,0.03,0.01
Coffs-Harbour-F-M44977,NSW,CoffsHarbour,M_NSW,2186,423388,193.68,1604,440,123,18,1,423388.30,64811.11,8748.03,0.14,0.14,0.02,0.00
Coffs-Harbour-F-M47046,NSW,CoffsHarbour,M_NSW,2229,492211,220.82,1499,472,204,52,2,492211.09,126826.05,25004.91,0.16,0.16,0.04,0.01
Coffs-M-44984,NSW,CoffsHarbour,M_NSW,2170,438937,202.28,1537,448,158,26,1,438937.36,80047.84,9252.91,0.14,0.14,0.03,0.00
F-Beach-RS-PTS,NSW,PortStephens,M_NSW,4989,1080000,216.71,3076,1461,412,40,0,1081186.72,155813.98,9778.78,0.35,0.35,0.05,0.00
